rank	file	frame	status	res_before	res_after	n_match	spread
1601	1601_nbacourt_0257_frame_0001_png.rf.9f9a80.jpg	nbacourt_0257_frame_0001_png.rf.9f9a80	SNAPPED	1.317578673362732	0.47085005044937134	127	0.533
1602	1602_nbacourt_1609_frame_0009_png.rf.0f3b1b.jpg	nbacourt_1609_frame_0009_png.rf.0f3b1b	SNAPPED	0.716782808303833	0.4700610339641571	116	0.412
1603	1603_nbacourt_0721_frame_0003_png.rf.d90a11.jpg	nbacourt_0721_frame_0003_png.rf.d90a11	SNAPPED	1.0073357820510864	0.4699954092502594	169	0.330
1604	1604_nbacourt_1922_frame_0019_png.rf.27bd88.jpg	nbacourt_1922_frame_0019_png.rf.27bd88	SNAPPED	1.1721512079238892	0.46981561183929443	116	0.212
1605	1605_nbacourt_0638_frame_0003_png.rf.7b1e93.jpg	nbacourt_0638_frame_0003_png.rf.7b1e93	SNAPPED	1.486682653427124	0.46956729888916016	89	0.477
1606	1606_nbacourt_1668_frame_0009_png.rf.b86c74.jpg	nbacourt_1668_frame_0009_png.rf.b86c74	SNAPPED	2.372586727142334	0.46943026781082153	87	0.202
1607	1607_nbacourt_1671_frame_0009_png.rf.bd4234.jpg	nbacourt_1671_frame_0009_png.rf.bd4234	SNAPPED	2.372586727142334	0.46943026781082153	87	0.202
1608	1608_nbacourt_0548_frame_0003_png.rf.118d6a.jpg	nbacourt_0548_frame_0003_png.rf.118d6a	SNAPPED	1.8975908756256104	0.4693819582462311	85	0.355
1609	1609_nbacourt_0725_frame_0003_png.rf.dda7b7.jpg	nbacourt_0725_frame_0003_png.rf.dda7b7	SNAPPED	1.0961893796920776	0.46915945410728455	85	0.151
1610	1610_nbacourt_0653_frame_0003_png.rf.926e56.jpg	nbacourt_0653_frame_0003_png.rf.926e56	SNAPPED	1.5481873750686646	0.46913477778434753	65	0.329
1611	1611_nbacourt_0046_frame_0000_png.rf.56eba2.jpg	nbacourt_0046_frame_0000_png.rf.56eba2	SNAPPED	1.5098613500595093	0.46836045384407043	76	0.592
1612	1612_nbacourt_1540_frame_0008_png.rf.5f17ba.jpg	nbacourt_1540_frame_0008_png.rf.5f17ba	SNAPPED	1.009345293045044	0.4673926830291748	78	0.363
1613	1613_nbacourt_1431_frame_0007_png.rf.a06fd8.jpg	nbacourt_1431_frame_0007_png.rf.a06fd8	SNAPPED	1.0590742826461792	0.4670485556125641	166	0.515
1614	1614_nbacourt_1954_frame_0025_png.rf.d05135.jpg	nbacourt_1954_frame_0025_png.rf.d05135	SNAPPED	1.5262795686721802	0.466976523399353	55	0.381
1615	1615_nbacourt_1767_frame_0011_png.rf.5be797.jpg	nbacourt_1767_frame_0011_png.rf.5be797	SNAPPED	1.5077908039093018	0.46670517325401306	87	0.205
1616	1616_nbacourt_0328_frame_0002_png.rf.00aacc.jpg	nbacourt_0328_frame_0002_png.rf.00aacc	SNAPPED	1.0326212644577026	0.4661681652069092	84	0.245
1617	1617_nbacourt_1757_frame_0011_png.rf.18c0dd.jpg	nbacourt_1757_frame_0011_png.rf.18c0dd	SNAPPED	1.4141744375228882	0.46615201234817505	92	0.179
1618	1618_nbacourt_1794_frame_0011_png.rf.d53151.jpg	nbacourt_1794_frame_0011_png.rf.d53151	SNAPPED	1.3808834552764893	0.46546486020088196	101	0.203
1619	1619_nbacourt_0651_frame_0003_png.rf.91d730.jpg	nbacourt_0651_frame_0003_png.rf.91d730	SNAPPED	1.0056194067001343	0.4647470712661743	93	0.307
1620	1620_nbacourt_1388_frame_0007_png.rf.470bcc.jpg	nbacourt_1388_frame_0007_png.rf.470bcc	SNAPPED	1.273301601409912	0.4644991159439087	67	0.354
1621	1621_nbacourt_1943_frame_0021_png.rf.fbe460.jpg	nbacourt_1943_frame_0021_png.rf.fbe460	SNAPPED	2.499988555908203	0.46399760246276855	114	0.415
1622	1622_nbacourt_0284_frame_0001_png.rf.b9eee2.jpg	nbacourt_0284_frame_0001_png.rf.b9eee2	SNAPPED	0.7198233604431152	0.4637203514575958	121	0.188
