rank	file	frame	game	floor_frac	old-aug_sane	old-aug_res	old-aug_match	old-aug_pts	NEW-33_sane	NEW-33_res	NEW-33_match	NEW-33_pts	NEW-grid_sane	NEW-grid_res	NEW-grid_match	NEW-grid_pts
563	0563_H56iR3188P0_s6540_t0270.jpg	H56iR3188P0_s6540_t0270	2013 SAS@MIA	0.160	1	6.042665481567383	20	19	1	3.12241792678833	42	13	1	6.172826766967773	26	38
564	0564_qAeUUwn-A8s_s4200_t0288.jpg	qAeUUwn-A8s_s4200_t0288	2024 DEN@MIN	0.450	1	4.012390613555908	53	12	1	3.8454666137695312	94	14	1	6.172361373901367	78	36
565	0565_qAeUUwn-A8s_s2580_t0194.jpg	qAeUUwn-A8s_s2580_t0194	2024 DEN@MIN	0.431	1	3.7152016162872314	70	12	1	4.809082508087158	84	13	1	6.171356201171875	80	39
566	0566_H56iR3188P0_s1620_t0146.jpg	H56iR3188P0_s1620_t0146	2013 SAS@MIA	0.265	1	5.340489387512207	58	15	1	6.157903671264648	52	13	1	6.151038646697998	101	34
567	0567_qAeUUwn-A8s_s4200_t0168.jpg	qAeUUwn-A8s_s4200_t0168	2024 DEN@MIN	0.424	1	4.636600494384766	78	12	1	4.890050411224365	99	13	1	6.133632659912109	104	32
568	0568_8Ap3jYl0nAA_s3300_t0154.jpg	8Ap3jYl0nAA_s3300_t0154	2019 TOR@PHI	0.220	1	6.010046482086182	41	12	1	4.641040802001953	39	11	1	6.109026908874512	54	24
569	0569_8Ap3jYl0nAA_s5340_t0212.jpg	8Ap3jYl0nAA_s5340_t0212	2019 TOR@PHI	0.209	0	nan	0	0	1	6.310232162475586	32	11	1	6.106428146362305	24	24
570	0570_qAeUUwn-A8s_s2580_t0008.jpg	qAeUUwn-A8s_s2580_t0008	2024 DEN@MIN	0.415	1	4.3935675621032715	57	14	1	4.500019073486328	93	13	1	6.102623462677002	68	38
571	0571_qAeUUwn-A8s_s1020_t0142.jpg	qAeUUwn-A8s_s1020_t0142	2024 DEN@MIN	0.428	1	6.103707313537598	55	12	1	3.9139978885650635	95	12	1	6.07699728012085	85	33
572	0572_92fLApYaCGI_s5580_t0116.jpg	92fLApYaCGI_s5580_t0116	1998 CHI@UTA	0.258	0	nan	0	0	1	4.975096702575684	37	14	1	6.074047565460205	32	43
573	0573_qAeUUwn-A8s_s4200_t0256.jpg	qAeUUwn-A8s_s4200_t0256	2024 DEN@MIN	0.254	1	2.499211549758911	24	11	1	3.0886993408203125	58	11	1	6.073793411254883	80	27
574	0574_qAeUUwn-A8s_s2580_t0202.jpg	qAeUUwn-A8s_s2580_t0202	2024 DEN@MIN	0.482	1	5.451615333557129	44	11	1	7.051230430603027	53	10	1	6.061199188232422	57	29
575	0575_H56iR3188P0_s4080_t0082.jpg	H56iR3188P0_s4080_t0082	2013 SAS@MIA	0.170	1	nan	15	10	1	5.54013729095459	36	16	1	6.058828830718994	38	56
576	0576_qAeUUwn-A8s_s2580_t0086.jpg	qAeUUwn-A8s_s2580_t0086	2024 DEN@MIN	0.358	1	nan	12	10	1	3.80401873588562	55	12	1	6.058539390563965	70	32
577	0577_H56iR3188P0_s4080_t0272.jpg	H56iR3188P0_s4080_t0272	2013 SAS@MIA	0.280	0	nan	0	0	1	5.639472961425781	24	12	1	6.030104637145996	36	29
578	0578_92fLApYaCGI_s1380_t0288.jpg	92fLApYaCGI_s1380_t0288	1998 CHI@UTA	0.297	0	nan	0	14	1	6.576416015625	46	16	1	6.0288310050964355	53	46
579	0579_8Ap3jYl0nAA_s5340_t0236.jpg	8Ap3jYl0nAA_s5340_t0236	2019 TOR@PHI	0.291	1	5.34048318862915	93	6	1	5.522753715515137	42	14	1	6.0280256271362305	25	39
