rank	file	frame	n_code2	flag	verts_on	med_px	support
940	0940_nbacourt_1583_frame_0008_png.rf.cd4184.jpg	nbacourt_1583_frame_0008_png.rf.cd4184	6	-	15	17.48	0.220
941	0941_nbacourt_1235_frame_0006_png.rf.653354.jpg	nbacourt_1235_frame_0006_png.rf.653354	6	-	14	17.45	0.190
942	0942_nbacourt_1294_frame_0006_png.rf.cc778e.jpg	nbacourt_1294_frame_0006_png.rf.cc778e	4	-	13	17.45	0.163
943	0943_nbacourt_0888_frame_0004_png.rf.ab6498.jpg	nbacourt_0888_frame_0004_png.rf.ab6498	6	-	13	17.43	0.311
944	0944_nbacourt_1589_frame_0008_png.rf.dbcbd6.jpg	nbacourt_1589_frame_0008_png.rf.dbcbd6	6	-	15	17.43	0.237
945	0945_nbacourt_1062_frame_0005_png.rf.8955f4.jpg	nbacourt_1062_frame_0005_png.rf.8955f4	5	-	13	17.41	0.289
946	0946_nbacourt_0711_frame_0003_png.rf.cf839c.jpg	nbacourt_0711_frame_0003_png.rf.cf839c	6	-	14	17.40	0.240
947	0947_nbacourt_0109_frame_0000_png.rf.cb902a.jpg	nbacourt_0109_frame_0000_png.rf.cb902a	6	-	15	17.39	0.291
948	0948_nbacourt_0552_frame_0003_png.rf.155ec1.jpg	nbacourt_0552_frame_0003_png.rf.155ec1	7	-	17	17.39	0.183
949	0949_nbacourt_0820_frame_0004_png.rf.5b6c4d.jpg	nbacourt_0820_frame_0004_png.rf.5b6c4d	6	-	13	17.39	0.222
950	0950_nbacourt_0925_frame_0004_png.rf.e45bbe.jpg	nbacourt_0925_frame_0004_png.rf.e45bbe	6	-	15	17.39	0.190
951	0951_nbacourt_1126_frame_0005_png.rf.cd79bd.jpg	nbacourt_1126_frame_0005_png.rf.cd79bd	6	-	11	17.39	0.291
952	0952_nbacourt_1226_frame_0006_png.rf.50d65a.jpg	nbacourt_1226_frame_0006_png.rf.50d65a	6	-	13	17.39	0.299
953	0953_nbacourt_1237_frame_0006_png.rf.65b78e.jpg	nbacourt_1237_frame_0006_png.rf.65b78e	5	-	13	17.39	0.207
954	0954_nbacourt_1428_frame_0007_png.rf.9de229.jpg	nbacourt_1428_frame_0007_png.rf.9de229	5	-	14	17.39	0.301
955	0955_nbacourt_1565_frame_0008_png.rf.a7c4d1.jpg	nbacourt_1565_frame_0008_png.rf.a7c4d1	6	-	12	17.39	0.276
956	0956_nbacourt_1628_frame_0009_png.rf.45f992.jpg	nbacourt_1628_frame_0009_png.rf.45f992	6	-	14	17.39	0.330
957	0957_nbacourt_2020_frame_0002_png.rf.dd47d7.jpg	nbacourt_2020_frame_0002_png.rf.dd47d7	6	-	14	17.39	0.275
958	0958_nbacourt_0670_frame_0003_png.rf.a77737.jpg	nbacourt_0670_frame_0003_png.rf.a77737	6	-	13	17.37	0.208
